x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,Temperature,Humidity,time,odor_label
start,1123.0,1123.1,5589.6,5588.6,5590.4,4210.0,4210.2,4211.5,20685.2,20687.2,20693.6,17037.3,17000.0,17007.0,1123.2,1123.1,1123.1,1123.1,-9582367.0,-8590359.0,-7485649.0,1809.9,1809.5,1810.2,3290.5,3289.4,3289.9,3961.5,3961.4,3962.5,1123.1,1123.1,1123.1,1123.1,26005.9,26035.0,26056.1,107410.9,107834.6,108163.6,3832.4,3831.6,3831.5,2903.1,2903.4,2908.7,1123.1,1123.1,1123.1,1123.1,93261.2,93485.5,93484.0,4317.3,4317.8,4320.9,1122.8,1122.8,1122.8,2822.6,2822.9,2823.9,1123.1,1123.1,29.33,28.5,0.0,whiskey_laphroaig
start,1123.1,1123.1,5590.1,5591.0,5592.0,4210.6,4211.2,4212.6,20668.2,20682.9,20685.8,17001.6,16993.0,16987.6,1123.2,1123.1,1123.1,1123.1,-10597889.0,-7195615.0,-7697414.5,1810.3,1809.8,1810.3,3289.8,3288.9,3289.4,3961.8,3959.9,3961.7,1123.1,1123.1,1123.1,1123.1,26036.0,26033.5,26059.0,107249.5,108036.8,107694.7,3832.4,3831.9,3832.5,2903.9,2904.1,2909.7,1123.1,1123.1,1123.1,1123.1,93221.1,93577.5,93341.6,4316.9,4318.1,4319.7,1122.9,1122.8,1122.8,2822.9,2823.4,2823.5,1123.1,1123.1,29.33,28.52,1.8,whiskey_laphroaig
start,1123.0,1123.1,5590.0,5588.8,5591.8,4210.6,4211.6,4212.6,20718.7,20702.1,20692.1,16995.3,17012.1,16998.2,1123.1,1123.1,1123.1,1123.1,-12580720.0,-6507268.5,-7078082.0,1810.1,1809.8,1810.1,3291.4,3289.3,3289.7,3963.0,3962.1,3962.9,1123.2,1123.1,1123.1,1123.1,26006.9,26028.9,26034.2,107582.8,107816.7,108130.6,3832.6,3832.4,3832.4,2903.4,2904.4,2909.7,1123.1,1123.1,1123.1,1123.1,93531.1,94005.3,93733.4,4316.1,4318.6,4319.5,1122.8,1122.8,1122.8,2823.0,2823.3,2824.0,1123.1,1123.1,29.35,28.5,3.6,whiskey_laphroaig
start,1123.0,1123.1,5590.5,5589.4,5589.4,4210.8,4210.2,4212.1,20693.9,20688.9,20702.4,16996.0,17010.7,17025.5,1123.2,1123.1,1123.1,1123.1,-11403577.0,-6621432.0,-6882394.0,1810.8,1810.1,1811.1,3291.9,3290.7,3291.3,3961.5,3961.8,3961.9,1123.1,1123.1,1123.1,1123.1,26030.0,26040.8,26033.1,107109.1,107617.4,107900.3,3834.1,3832.1,3832.4,2903.4,2904.0,2908.6,1123.1,1123.1,1123.1,1123.1,93160.2,93384.8,93229.3,4314.6,4317.5,4320.0,1122.8,1122.8,1122.8,2823.3,2823.0,2823.8,1123.1,1123.1,29.33,28.549999,5.4,whiskey_laphroaig
start,1123.0,1123.1,5586.8,5587.8,5588.4,4211.4,4211.7,4213.0,20678.4,20685.1,20674.7,16961.0,16982.8,16986.5,1123.2,1123.1,1123.1,1123.1,-10944875.0,-7587594.0,-8035762.0,1810.3,1809.9,1810.6,3292.4,3290.6,3290.9,3962.1,3961.2,3962.5,1123.1,1123.1,1123.1,1123.1,26020.7,26025.0,26024.3,107619.4,107910.2,107061.0,3834.4,3832.4,3834.0,2903.7,2903.7,2909.4,1123.1,1123.1,1123.1,1123.1,92970.7,93448.9,93695.1,4315.5,4319.0,4320.5,1122.9,1122.8,1122.8,2822.4,2822.6,2823.4,1123.1,1123.1,29.35,28.5,7.2,whiskey_laphroaig
start,1123.1,1123.1,5588.6,5589.5,5590.6,4210.4,4210.6,4211.5,20700.5,20698.2,20709.4,16991.3,16993.9,16996.4,1123.1,1123.1,1123.1,1123.1,-10446491.0,-7095251.0,-7617233.0,1810.6,1810.3,1810.6,3292.8,3291.0,3291.5,3962.8,3961.3,3962.8,1123.1,1123.1,1123.1,1123.1,26009.0,26037.5,26061.8,107801.8,107938.1,108107.6,3832.8,3832.6,3832.7,2904.0,2903.9,2909.5,1123.1,1123.1,1123.1,1123.1,93146.9,93285.0,93361.7,4315.3,4318.0,4321.3,1122.9,1122.8,1122.8,2822.3,2823.3,2823.7,1123.1,1123.1,29.33,28.51,9.0,whiskey_laphroaig
start,1123.0,1123.1,5588.9,5589.7,5589.2,4209.3,4210.3,4212.2,20663.6,20682.0,20681.1,17003.3,17015.2,17020.8,1123.1,1123.1,1123.1,1123.1,-9653524.0,-7687299.5,-6858188.5,1810.8,1810.3,1811.1,3291.5,3291.4,3290.6,3963.8,3962.6,3963.6,1123.1,1123.1,1123.1,1123.1,26032.4,26073.1,26091.6,107822.7,108259.7,108310.8,3834.4,3833.0,3833.6,2903.4,2903.8,2909.6,1123.1,1123.1,1123.0,1123.1,93039.5,93537.1,93560.3,4316.6,4317.2,4321.4,1122.9,1122.8,1122.8,2822.5,2823.1,2823.3,1123.1,1123.1,29.33,28.5,10.8,whiskey_laphroaig
start,1123.0,1123.1,5589.2,5589.1,5589.3,4211.2,4210.7,4212.3,20689.5,20694.2,20700.2,16934.6,16955.3,16963.9,1123.2,1123.1,1123.1,1123.1,-10326629.0,-8125048.5,-6858188.5,1810.4,1809.9,1810.4,3291.8,3290.4,3291.0,3962.9,3960.2,3961.0,1123.1,1123.1,1123.1,1123.1,26045.8,26080.4,26076.7,107865.4,108286.7,108212.6,3834.9,3833.1,3833.4,2904.1,2903.7,2909.6,1123.1,1123.1,1123.0,1123.1,93051.3,93573.7,92990.7,4314.8,4319.3,4321.6,1122.9,1122.8,1122.8,2822.6,2823.7,2824.3,1123.1,1123.1,29.33,28.52,12.6,whiskey_laphroaig
start,1123.0,1123.1,5589.2,5589.8,5590.5,4209.7,4210.7,4212.5,20685.0,20685.3,20683.6,16998.8,16972.0,16984.2,1123.1,1123.1,1123.1,1123.1,-9881816.0,-7363165.0,-8363166.0,1810.1,1810.1,1810.4,3290.3,3290.0,3290.5,3962.0,3961.1,3961.2,1123.1,1123.1,1123.1,1123.1,26040.2,26038.5,26029.4,107679.8,108226.6,108820.5,3833.8,3832.6,3832.6,2902.6,2903.9,2910.0,1123.1,1123.1,1123.1,1123.1,93312.5,93277.6,93276.1,4314.6,4316.8,4318.7,1122.9,1122.8,1122.8,2823.7,2823.9,2824.3,1123.1,1123.1,29.33,28.51,14.4,whiskey_laphroaig
start,1123.0,1123.1,5588.1,5589.5,5587.2,4210.5,4210.9,4212.7,20675.1,20687.5,20686.4,16982.8,16976.7,16997.7,1123.1,1123.1,1123.1,1123.1,-8830241.0,-6993467.0,-7027068.5,1810.1,1809.5,1810.0,3291.2,3289.8,3289.9,3963.5,3963.1,3961.1,1123.1,1123.1,1123.1,1123.1,26032.8,26039.6,26055.0,107704.6,108214.6,108066.7,3833.2,3831.7,3832.5,2903.4,2903.7,2909.7,1123.1,1123.1,1123.1,1123.1,93192.1,93331.1,93446.7,4316.0,4318.4,4322.5,1122.9,1122.8,1122.8,2822.9,2823.5,2823.5,1123.1,1123.1,29.32,28.52,16.2,whiskey_laphroaig
