x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,Temperature,Humidity,time,odor_label
start,1123.0,1123.1,5198.0,5199.1,5199.3,3540.5,3540.8,3542.4,18549.7,18547.8,18553.6,15106.6,15102.3,15081.9,1123.2,1123.1,1123.1,1123.1,-10446491.0,-6728044.5,-6786583.0,1561.8,1561.1,1561.7,2610.4,2609.7,2609.5,3569.8,3568.1,3568.2,1123.1,1123.1,1123.1,1123.1,23204.1,23220.5,23218.5,98939.4,99377.2,99240.6,3123.3,3122.4,3122.8,2568.4,2568.3,2572.4,1123.1,1123.1,1123.0,1123.1,87250.4,87123.7,87288.8,4084.2,4084.8,4085.6,1122.9,1122.8,1122.8,2758.2,2758.0,2759.1,1123.1,1123.1,30.1,24.360001,0.0,whiskey_tamnavulin
start,1123.0,1123.1,5196.4,5196.4,5197.6,3540.7,3540.6,3541.9,18555.6,18557.4,18551.7,15107.7,15113.9,15102.3,1123.2,1123.1,1123.1,1123.1,-10965389.0,-5663150.5,-6643992.0,1561.9,1561.1,1561.7,2610.9,2610.4,2610.7,3568.4,3568.2,3568.8,1123.1,1123.1,1123.1,1123.1,23218.5,23225.8,23216.8,98932.7,99375.5,99349.3,3123.7,3122.7,3123.5,2567.8,2568.0,2572.5,1123.1,1123.1,1123.1,1123.1,87472.1,87564.4,87975.9,4083.4,4086.1,4087.3,1122.9,1122.8,1122.8,2757.8,2758.4,2758.7,1123.1,1123.1,30.09,24.360001,1.8,whiskey_tamnavulin
start,1123.0,1123.1,5196.5,5198.0,5199.6,3540.1,3539.9,3541.8,18547.6,18544.0,18564.7,15095.1,15117.5,15125.3,1123.1,1123.1,1123.1,1123.1,-10165135.0,-6960184.5,-6613946.0,1561.4,1561.0,1561.4,2609.8,2609.3,2609.5,3568.3,3569.4,3568.2,1123.1,1123.1,1123.1,1123.1,23172.7,23190.1,23198.6,98828.2,99382.2,99442.2,3122.7,3122.1,3122.2,2567.4,2568.1,2572.2,1123.1,1123.1,1123.0,1123.1,87366.3,87282.3,87568.4,4082.9,4084.6,4085.0,1122.9,1122.8,1122.8,2758.0,2758.5,2758.6,1123.1,1123.1,30.09,24.309999,3.6,whiskey_tamnavulin
start,1123.0,1123.1,5197.7,5198.5,5198.9,3540.2,3540.2,3540.5,18553.5,18553.1,18567.3,15129.7,15125.7,15124.2,1123.2,1123.1,1123.1,1123.1,-9443156.0,-7335467.0,-7707555.5,1561.5,1561.6,1561.6,2610.1,2609.3,2609.6,3570.6,3569.5,3569.0,1123.2,1123.1,1123.1,1123.1,23189.2,23203.3,23208.6,98632.4,99102.8,99413.5,3122.8,3122.1,3122.6,2567.5,2567.9,2571.6,1123.1,1123.1,1123.1,1123.1,87182.8,87662.9,87587.4,4083.3,4084.7,4085.4,1122.9,1122.8,1122.8,2758.4,2758.1,2758.8,1123.1,1123.1,30.1,24.27,5.4,whiskey_tamnavulin
start,1123.0,1123.1,5197.2,5197.3,5198.3,3540.1,3540.2,3541.3,18564.4,18579.6,18562.7,15142.7,15144.9,15146.3,1123.1,1123.1,1123.1,1123.1,-10254225.0,-7900115.0,-6728044.5,1561.6,1561.1,1561.8,2610.3,2609.3,2610.0,3569.7,3569.3,3568.3,1123.1,1123.1,1123.1,1123.1,23193.2,23207.6,23207.2,98734.8,98989.6,99042.4,3123.2,3121.9,3122.5,2567.4,2567.5,2572.0,1123.1,1123.1,1123.1,1123.1,87354.6,87714.1,87872.9,4081.9,4083.3,4085.4,1122.9,1122.8,1122.8,2757.8,2758.0,2757.6,1123.1,1123.1,30.09,24.299999,7.2,whiskey_tamnavulin
start,1123.0,1123.1,5195.8,5196.2,5197.1,3540.7,3540.4,3541.9,18546.4,18557.8,18561.5,15147.8,15135.5,15133.2,1123.2,1123.1,1123.1,1123.1,-12814973.0,-6681936.5,-6751338.5,1561.5,1561.3,1561.6,2608.8,2607.8,2609.3,3569.1,3569.4,3568.2,1123.1,1123.1,1123.1,1123.1,23174.8,23192.3,23205.4,98777.3,99190.2,99346.0,3122.6,3121.7,3122.4,2567.0,2567.5,2571.2,1123.1,1123.1,1123.1,1123.1,87448.0,87935.6,87928.4,4082.6,4083.5,4087.1,1122.9,1122.8,1122.8,2758.1,2757.8,2758.4,1123.1,1123.1,30.09,24.27,9.0,whiskey_tamnavulin
start,1123.0,1123.1,5196.7,5196.1,5196.8,3540.0,3539.6,3541.3,18535.2,18546.4,18544.8,15122.6,15103.8,15123.9,1123.1,1123.1,1123.1,1123.1,-10597889.0,-8159044.5,-6882394.0,1562.0,1561.4,1561.9,2609.8,2608.4,2608.7,3567.7,3567.1,3567.8,1123.2,1123.1,1123.1,1123.1,23172.9,23212.2,23203.2,99290.3,99339.2,99637.0,3122.3,3120.1,3121.9,2567.4,2567.9,2571.7,1123.1,1123.1,1123.1,1123.1,87431.0,87442.7,87602.5,4081.1,4085.0,4085.4,1122.9,1122.8,1122.8,2757.9,2757.7,2758.7,1123.1,1123.1,30.09,24.32,10.8,whiskey_tamnavulin
start,1123.0,1123.1,5196.4,5195.9,5198.8,3540.5,3540.5,3542.0,18541.7,18560.7,18540.1,15109.2,15100.3,15097.6,1123.1,1123.1,1123.1,1123.1,-11337278.0,-6993467.0,-6960184.5,1561.7,1561.1,1562.1,2609.5,2608.8,2609.1,3568.5,3567.9,3568.8,1123.2,1123.1,1123.1,1123.1,23191.5,23193.7,23192.5,99070.0,99288.6,99416.9,3122.5,3121.4,3122.1,2567.3,2567.5,2571.7,1123.1,1123.1,1123.1,1123.1,87080.2,87378.7,87251.7,4084.6,4086.7,4087.9,1122.9,1122.8,1122.8,2758.4,2758.4,2759.5,1123.1,1123.1,30.07,24.33,12.6,whiskey_tamnavulin
start,1123.1,1123.1,5193.8,5195.1,5196.8,3541.1,3540.6,3541.9,18538.1,18533.3,18549.5,15079.4,15086.7,15084.1,1123.1,1123.1,1123.1,1123.1,-9241762.0,-6170922.5,-6858188.5,1561.9,1561.6,1562.3,2609.7,2609.4,2609.6,3569.1,3568.5,3569.0,1123.1,1123.1,1123.1,1123.1,23190.7,23204.8,23213.6,99058.3,99249.0,99494.6,3121.6,3120.9,3122.5,2566.4,2567.4,2571.4,1123.1,1123.1,1123.1,1123.1,87344.8,87544.8,87406.8,4084.1,4085.1,4087.3,1122.9,1122.8,1122.8,2757.9,2758.2,2758.6,1123.2,1123.1,30.120001,24.33,14.4,whiskey_tamnavulin
start,1123.1,1123.1,5196.4,5196.3,5197.9,3540.1,3540.1,3541.6,18544.3,18533.9,18529.5,15143.7,15137.7,15142.9,1123.2,1123.1,1123.1,1123.1,-11228474.0,-7657113.5,-7204476.5,1561.4,1561.2,1562.3,2610.7,2610.1,2609.9,3568.4,3568.1,3568.4,1123.2,1123.1,1123.0,1123.1,23174.9,23188.2,23205.9,98679.8,99042.4,99314.8,3123.0,3121.3,3122.0,2566.5,2567.4,2571.4,1123.1,1123.1,1123.1,1123.1,87414.6,87712.8,87568.4,4084.8,4085.4,4087.8,1122.9,1122.8,1122.8,2758.4,2758.2,2759.0,1123.1,1123.1,30.1,24.299999,16.2,whiskey_tamnavulin
