x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,Temperature,Humidity,time,odor_label
start,1123.0,1123.1,6586.5,6587.1,6587.6,5547.6,5549.5,5551.2,26343.4,26363.2,26342.1,21376.0,21367.1,21392.3,1123.1,1123.1,1123.1,1123.1,-9613862.0,-8315614.5,-7052483.0,2316.4,2315.9,2316.9,4829.5,4829.8,4832.3,6661.6,6658.5,6659.8,1123.1,1123.1,1123.1,1123.1,36477.2,36568.0,36555.4,130159.3,131097.0,131632.4,5817.5,5815.5,5818.3,4314.5,4314.1,4319.6,1123.1,1123.1,1123.1,1123.1,104474.2,104554.5,104245.2,4823.6,4831.3,4834.1,1122.9,1122.8,1122.8,3102.7,3103.5,3104.2,1123.2,1123.1,29.790001,35.369999,0.0,whiskey_cuttysark
start,1123.1,1123.1,6583.5,6584.6,6584.9,5547.9,5547.9,5549.2,26316.8,26323.4,26328.9,21313.1,21294.8,21275.3,1123.2,1123.1,1123.1,1123.1,-12662413.0,-6890500.5,-6874306.5,2315.9,2315.4,2316.3,4828.0,4829.1,4830.2,6659.4,6655.7,6654.6,1123.2,1123.1,1123.1,1123.1,36550.0,36585.3,36588.2,129866.0,130704.6,131007.5,5816.0,5814.1,5813.5,4314.4,4315.0,4321.4,1123.1,1123.1,1123.1,1123.1,103685.4,104537.7,103902.7,4821.3,4828.1,4831.8,1122.9,1122.8,1122.8,3102.9,3103.0,3104.8,1123.1,1123.1,29.790001,35.380001,1.8,whiskey_cuttysark
start,1123.0,1123.1,6585.1,6585.3,6585.5,5547.8,5548.9,5550.8,26321.8,26337.1,26351.6,21363.0,21437.5,21369.3,1123.1,1123.1,1123.1,1123.1,-9865152.0,-8527748.0,-7617233.0,2316.4,2316.2,2316.8,4829.7,4832.0,4831.2,6657.8,6655.7,6652.1,1123.2,1123.1,1123.1,1123.1,36510.1,36585.9,36577.6,130049.3,130806.8,131338.4,5818.0,5817.3,5817.3,4314.2,4315.0,4320.1,1123.1,1123.1,1123.1,1123.1,104295.4,104775.4,104757.6,4824.1,4829.1,4834.1,1122.9,1122.8,1122.8,3102.0,3103.3,3105.0,1123.2,1123.1,29.799999,35.369999,3.6,whiskey_cuttysark
start,1123.0,1123.1,6585.3,6585.6,6587.2,5549.0,5549.4,5551.8,26323.2,26328.7,26343.4,21394.5,21387.9,21378.2,1123.2,1123.1,1123.1,1123.1,-12149606.0,-7667149.5,-8363166.0,2316.1,2316.1,2316.6,4831.2,4832.7,4833.8,6658.8,6652.2,6653.4,1123.1,1123.1,1123.1,1123.1,36556.8,36582.6,36646.4,130173.8,130962.0,131378.2,5822.2,5819.1,5819.1,4314.9,4314.6,4320.4,1123.1,1123.1,1123.1,1123.1,103987.6,104211.8,104130.2,4825.7,4830.5,4835.0,1122.9,1122.8,1122.8,3102.3,3103.3,3104.2,1123.1,1123.1,29.790001,35.349998,5.4,whiskey_cuttysark
start,1123.0,1123.1,6588.4,6587.7,6586.6,5548.6,5548.9,5550.3,26315.5,26325.6,26335.1,21378.9,21350.3,21357.4,1123.2,1123.1,1123.1,1123.1,-11153546.0,-7743262.5,-7344676.5,2316.6,2315.7,2316.7,4832.4,4831.5,4832.9,6654.0,6654.7,6654.1,1123.1,1123.1,1123.1,1123.1,36515.4,36564.3,36576.0,129967.0,131004.5,131272.1,5818.4,5818.1,5818.2,4315.3,4315.5,4320.1,1123.1,1123.1,1123.0,1123.1,104245.2,104301.0,104241.5,4825.0,4832.5,4835.3,1122.9,1122.8,1122.8,3102.1,3103.1,3104.3,1123.1,1123.1,29.799999,35.369999,7.2,whiskey_cuttysark
start,1123.0,1123.1,6586.9,6587.6,6588.8,5549.3,5550.0,5551.9,26328.5,26316.8,26341.2,21402.1,21388.0,21380.0,1123.2,1123.1,1123.1,1123.1,-11174852.0,-8024739.0,-7125499.0,2316.7,2315.9,2316.2,4831.4,4832.9,4835.6,6662.6,6655.8,6654.6,1123.2,1123.1,1123.1,1123.1,36551.1,36575.5,36584.8,129730.7,130787.8,130902.0,5820.5,5819.1,5817.8,4314.7,4315.3,4321.0,1123.1,1123.1,1123.1,1123.1,104045.9,103964.5,104184.9,4823.5,4831.1,4834.1,1122.9,1122.8,1122.8,3101.4,3102.7,3104.1,1123.1,1123.1,29.77,35.34,9.0,whiskey_cuttysark
start,1123.1,1123.1,6587.4,6587.6,6587.7,5549.8,5550.2,5553.1,26322.5,26331.7,26347.0,21426.8,21415.8,21396.5,1123.2,1123.1,1123.1,1123.1,-12049506.0,-8057899.0,-8024739.0,2317.0,2316.3,2316.8,4834.1,4834.8,4834.6,6657.1,6656.1,6655.3,1123.1,1123.1,1123.1,1123.1,36503.1,36503.1,36526.1,129795.4,130746.9,131308.9,5818.7,5816.7,5817.6,4314.9,4315.9,4321.2,1123.1,1123.1,1123.1,1123.1,103944.2,104394.0,104501.2,4825.6,4832.1,4836.9,1122.9,1122.8,1122.8,3101.1,3102.0,3103.3,1123.2,1123.1,29.77,35.380001,10.8,whiskey_cuttysark
start,1123.0,1123.1,6587.1,6589.3,6589.9,5548.8,5549.3,5550.8,26315.5,26334.0,26332.1,21334.7,21349.8,21350.7,1123.1,1123.1,1123.1,1123.1,-7476082.5,-7774133.0,-8046815.5,2317.4,2316.9,2317.4,4834.4,4836.3,4836.5,6658.2,6657.2,6658.7,1123.2,1123.1,1123.1,1123.1,36536.0,36547.3,36543.7,129766.6,130853.6,131070.6,5818.5,5818.9,5818.7,4316.0,4316.1,4322.1,1123.1,1123.1,1123.1,1123.1,103651.4,103917.4,104499.4,4825.4,4831.1,4835.0,1122.9,1122.8,1122.8,3102.0,3102.9,3104.6,1123.1,1123.1,29.77,35.369999,12.6,whiskey_cuttysark
start,1123.0,1123.1,6586.8,6588.0,6588.4,5550.8,5550.8,5552.7,26328.9,26325.3,26342.9,21411.1,21433.2,21413.9,1123.1,1123.1,1123.1,1123.1,-13043556.0,-7847129.5,-7222265.0,2316.9,2316.8,2317.6,4835.6,4835.1,4836.0,6658.7,6657.1,6654.6,1123.2,1123.1,1123.1,1123.1,36487.6,36569.9,36548.9,130590.8,130850.7,131004.5,5820.9,5819.2,5820.8,4316.8,4316.7,4321.6,1123.1,1123.1,1123.1,1123.1,104190.4,104576.0,104274.0,4827.7,4832.8,4838.6,1122.9,1122.8,1122.8,3103.1,3103.9,3104.6,1123.1,1123.1,29.77,35.299999,14.4,whiskey_cuttysark
start,1123.0,1123.1,6590.0,6591.0,6591.2,5551.3,5549.5,5554.2,26349.9,26361.5,26340.7,21385.8,21359.6,21376.6,1123.1,1123.1,1123.1,1123.1,-10578725.0,-8002783.5,-6297131.0,2317.1,2316.8,2317.3,4838.5,4838.0,4839.4,6656.9,6655.4,6653.9,1123.2,1123.1,1123.1,1123.1,36523.4,36589.5,36585.1,129492.3,130483.0,131036.8,5819.4,5817.6,5819.2,4316.6,4316.8,4322.1,1123.1,1123.1,1123.1,1123.1,104183.0,104363.3,104052.4,4827.6,4834.4,4837.7,1122.9,1122.8,1122.8,3102.6,3104.0,3105.4,1123.1,1123.1,29.790001,35.310001,16.2,whiskey_cuttysark
